"investor_id","name","age","total_investment","portfolio_count","risk_profile"
201,"Anil Mehta",45,"2500000.00",5,"Moderate"
202,"Rita Sharma",38,"1500000.00",3,"Conservative"
203,"Rajiv Gupta",29,"300000.00",2,"Aggressive"
204,"Sneha Joshi",34,"750000.00",4,"Moderate"
205,"Vikram Nair",50,"980000.00",6,"Conservative"
206,"Kavita Desai",27,"410000.00",2,"Aggressive"
207,"Manoj Yadav",32,"650000.00",3,"Moderate"
208,"Preeti Kaur",40,"1200000.00",4,"Conservative"
209,"Sameer Khan",36,"890000.00",4,"Aggressive"
210,"Meena Reddy",31,"520000.00",3,"Moderate"
